id,type,desc,category,concept,dataset,name
responsedate,calendar_date,,date,time,bqy8-r3up,Naturalization - Edmonton Insight Community
completiondate,calendar_date,,date,time,bqy8-r3up,Naturalization - Edmonton Insight Community
ostype,text,,,,bqy8-r3up,Naturalization - Edmonton Insight Community
devicetype,text,,,,bqy8-r3up,Naturalization - Edmonton Insight Community
browsertype,text,,,,bqy8-r3up,Naturalization - Edmonton Insight Community
budget year,number,Calendar year for budget.,year,time,da9s-v9j8,Approved Operating Budget - Expenses
fund type,text,Fund Type of budget item.,type,type,da9s-v9j8,Approved Operating Budget - Expenses
department,text,Name of City Department or Agency responsible for budget item.,,,da9s-v9j8,Approved Operating Budget - Expenses
branch,text,Name of branch responsible for budget item.,,,da9s-v9j8,Approved Operating Budget - Expenses
program,text,Name of program responsible for budget item.,,,da9s-v9j8,Approved Operating Budget - Expenses
category,text,Budget item description.,type,type,da9s-v9j8,Approved Operating Budget - Expenses
account type,text,High-level categorization of budget item - Revenue or Expenses.,,,da9s-v9j8,Approved Operating Budget - Expenses
budget,money,Number of dollars allocated to budget item.,,,da9s-v9j8,Approved Operating Budget - Expenses
name,text,Name of senior centre,,name,zmac-3mxq,Seniors Centres
address,text,Street address for senior centre,address,location,zmac-3mxq,Seniors Centres
latitude,number,Latitude coordinate for senior centre,latitude,location,zmac-3mxq,Seniors Centres
longitude,number,Longitude coordinate for senior centre,longitude,location,zmac-3mxq,Seniors Centres
location,location,Geographic location of senior centre,location,location,zmac-3mxq,Seniors Centres
forward sortation area,text,A forward sortation area (FSA) is a geographical region in which all postal codes start with the same three characters,postal_code,area,bqmh-j34s,Licensed Pets by Breed and Forward Sortation Area (FSA)
animal type,text,Cat or dog,,type,bqmh-j34s,Licensed Pets by Breed and Forward Sortation Area (FSA)
breed,text,"A breed is a group of domestic animals with a homogeneous appearance, behavior, and other characteristics that distinguish it from other animals of the same species, and arrived at through selective breeding.",,,bqmh-j34s,Licensed Pets by Breed and Forward Sortation Area (FSA)
count,number,Number of animals for a certain breed at a certain Forward Sortation Area.,,,bqmh-j34s,Licensed Pets by Breed and Forward Sortation Area (FSA)
responsedate,calendar_date,,date,time,4hht-iw97,Medically Supervised Injection Services - Edmonton Insight Community
completiondate,calendar_date,,date,time,4hht-iw97,Medically Supervised Injection Services - Edmonton Insight Community
ostype,text,,,,4hht-iw97,Medically Supervised Injection Services - Edmonton Insight Community
devicetype,text,,,,4hht-iw97,Medically Supervised Injection Services - Edmonton Insight Community
browsertype,text,,,,4hht-iw97,Medically Supervised Injection Services - Edmonton Insight Community
ward,text,City Ward Number to which a Neighbourhood belongs to.,ward_name,area,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
neighbourhood number,number,Unique number identifier,neighbourbood_id,area,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
neighbourhood name,text,"To protect the privacy of individuals, neighbourhood data is not reported for neighbourhoods with populations between 1 and 49 residents.",neighbourbood_name,area,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
married,number,,,,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
common-law,number,,,,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
separated/divorced,number,,,,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
never married,number,,,,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
widowed,number,,,,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
no response,number,,,,bms6-cuv9,2012 Census - Population By Marital Status (Neighbourhood)
structure type,text,,,,htu3-4pz3,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Citywide)
5 years or more,number,,,,htu3-4pz3,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Citywide)
no response,number,,,,htu3-4pz3,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Citywide)
ward,text,City Ward Number,ward_name,area,dzvs-e3up,2016 Census - Population by Length of Residence (Ward)
population,number,Number of respondents for a particular residency length,population,population,dzvs-e3up,2016 Census - Population by Length of Residence (Ward)
meeting id,number,Primary Key / Unique meeting identifier,,,y29c-39y9,2011-2013 Council and Committee Meetings - Meeting Details
meeting type,text,Name of Committee or the type of Council Meeting,,,y29c-39y9,2011-2013 Council and Committee Meetings - Meeting Details
record type,text,Indicates whether the Agenda or Minutes are available for this meeting,,,y29c-39y9,2011-2013 Council and Committee Meetings - Meeting Details
meeting date,calendar_date,Date of meeting,date,time,y29c-39y9,2011-2013 Council and Committee Meetings - Meeting Details
meeting time,text,Time for start of meeting,time,time,y29c-39y9,2011-2013 Council and Committee Meetings - Meeting Details
meeting location,text,Location of Meeting,location,location,y29c-39y9,2011-2013 Council and Committee Meetings - Meeting Details
supplier name,text,Name of supplier providing goods and services to the City.,,,y9rm-5xha,"Purchase Orders Over $10,000"
description,text,Brief description of the goods and services being purchased by the City.,,,y9rm-5xha,"Purchase Orders Over $10,000"
purchase order type,text,Category of Purchase Order.,,,y9rm-5xha,"Purchase Orders Over $10,000"
dollar value category,text,Dollar range of Purchase Order.,,,y9rm-5xha,"Purchase Orders Over $10,000"
create date,calendar_date,Date that the Purchase Order was created.,date,time,y9rm-5xha,"Purchase Orders Over $10,000"
year,number,Year the Purchase Order was created,year,time,y9rm-5xha,"Purchase Orders Over $10,000"
route id,text,ID that uniquely identifies a route,,,d577-xky7,ETS Bus Schedule GTFS Data Feed - Routes
route short name,number,Short name of a route,,,d577-xky7,ETS Bus Schedule GTFS Data Feed - Routes
route long name,text,Full name of a route. This name is generally more descriptive than the route_short_name and will often include the route's destination or stop.,,,d577-xky7,ETS Bus Schedule GTFS Data Feed - Routes
route description,text,Description of route,,,d577-xky7,ETS Bus Schedule GTFS Data Feed - Routes
route type,number,"Type of Transportation used on the route. 0 - Tram, Streetcar; 1 - Subway; 2- Rail; 3- Bus; etc...",,,d577-xky7,ETS Bus Schedule GTFS Data Feed - Routes
route url,url,URL of a web page about that particular route,url,url,d577-xky7,ETS Bus Schedule GTFS Data Feed - Routes
responsedate,calendar_date,,date,time,49fy-4pc4,Traffic Safety Culture - Edmonton Insight Community
completiondate,calendar_date,,date,time,49fy-4pc4,Traffic Safety Culture - Edmonton Insight Community
ostype,text,,,,49fy-4pc4,Traffic Safety Culture - Edmonton Insight Community
devicetype,text,,,,49fy-4pc4,Traffic Safety Culture - Edmonton Insight Community
browsertype,text,,,,49fy-4pc4,Traffic Safety Culture - Edmonton Insight Community
population,number,,population,population,6w5t-p7n9,2012 Census - Population By Mode Of Transportation (Citywide)
ward,text,City Ward Number,ward_name,area,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood name,neighbourbood_name,area,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
preschool,number,Number of Individuals identified with this Employment Status,,,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
